epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
205,180.375,0.1772,0.82432,0.93243,1.33431,0.000233335,0.000233335,0.000233335
206,181.225,0.15728,0.80405,0.93243,1.13949,0.000230979,0.000230979,0.000230979
207,182.043,0.16908,0.80405,0.93243,0.9847,0.000228623,0.000228623,0.000228623
208,182.869,0.13763,0.82432,0.93243,0.89404,0.000226267,0.000226267,0.000226267
209,183.802,0.13387,0.81757,0.93243,1.17871,0.00022391,0.00022391,0.00022391
210,184.652,0.13627,0.80405,0.93243,0.98226,0.000221554,0.000221554,0.000221554
211,185.52,0.11577,0.7973,0.93243,1.22363,0.000219198,0.000219198,0.000219198
212,186.408,0.13164,0.7973,0.93243,1.04362,0.000216842,0.000216842,0.000216842
213,187.29,0.1375,0.80405,0.93243,1.07747,0.000214486,0.000214486,0.000214486
214,188.164,0.14738,0.82432,0.93243,1.16683,0.000212129,0.000212129,0.000212129
215,189.016,0.16989,0.81081,0.93243,1.22152,0.000209773,0.000209773,0.000209773
216,189.882,0.14048,0.81081,0.93243,1.06445,0.000207417,0.000207417,0.000207417
217,190.791,0.13862,0.82432,0.93243,1.01872,0.000205061,0.000205061,0.000205061
218,191.71,0.17075,0.82432,0.93243,1.28564,0.000202705,0.000202705,0.000202705
219,192.595,0.14772,0.82432,0.93243,0.88072,0.000200348,0.000200348,0.000200348
220,193.468,0.13432,0.80405,1,1.30176,0.000197992,0.000197992,0.000197992
221,194.338,0.15222,0.78378,0.93243,0.90011,0.000195636,0.000195636,0.000195636
222,195.179,0.17327,0.78378,0.93243,1.21582,0.00019328,0.00019328,0.00019328
223,196.005,0.11758,0.79054,0.93243,1.16602,0.000190924,0.000190924,0.000190924
224,196.914,0.12588,0.81081,0.93243,1.09652,0.000188567,0.000188567,0.000188567
225,197.794,0.13845,0.81081,0.93243,1.35677,0.000186211,0.000186211,0.000186211
226,198.719,0.12921,0.81081,0.93243,1.00435,0.000183855,0.000183855,0.000183855
227,199.61,0.17902,0.81081,0.93243,1.12158,0.000181499,0.000181499,0.000181499
228,200.457,0.16493,0.77027,0.93243,1.25749,0.000179143,0.000179143,0.000179143
229,201.326,0.16164,0.81081,1,0.99919,0.000176786,0.000176786,0.000176786
230,202.191,0.14254,0.81081,0.93243,1.45508,0.00017443,0.00017443,0.00017443
231,203.072,0.15737,0.81081,0.93243,1.14258,0.000172074,0.000172074,0.000172074
232,203.963,0.14191,0.81081,0.93243,1.17367,0.000169718,0.000169718,0.000169718
233,204.782,0.14886,0.77027,0.93243,1.30811,0.000167362,0.000167362,0.000167362
234,205.639,0.15025,0.7973,0.93243,1.28109,0.000165005,0.000165005,0.000165005
235,206.489,0.12203,0.81081,0.93243,1.07275,0.000162649,0.000162649,0.000162649
236,207.378,0.13699,0.81081,0.93243,0.92505,0.000160293,0.000160293,0.000160293
237,208.215,0.11978,0.81081,0.93243,0.96533,0.000157937,0.000157937,0.000157937
238,209.124,0.12289,0.81081,1,0.96712,0.000155581,0.000155581,0.000155581
239,209.957,0.12071,0.81081,0.93243,1.08333,0.000153224,0.000153224,0.000153224
240,210.854,0.1371,0.81081,0.93243,1.06999,0.000150868,0.000150868,0.000150868
241,211.735,0.16842,0.7973,0.93243,1.30778,0.000148512,0.000148512,0.000148512
242,212.558,0.17785,0.77027,0.93243,1.02799,0.000146156,0.000146156,0.000146156
243,213.429,0.12569,0.77027,0.93243,1.27751,0.0001438,0.0001438,0.0001438
244,214.295,0.12724,0.77027,1,0.9196,0.000141443,0.000141443,0.000141443
245,215.126,0.13474,0.77027,1,0.81323,0.000139087,0.000139087,0.000139087
246,216.003,0.13634,0.77027,1,1.12712,0.000136731,0.000136731,0.000136731
247,216.881,0.14129,0.77027,1,0.7961,0.000134375,0.000134375,0.000134375
248,217.823,0.11989,0.83108,1,0.90316,0.000132019,0.000132019,0.000132019
249,218.701,0.11413,0.83784,1,0.90837,0.000129662,0.000129662,0.000129662
250,219.61,0.13935,0.83784,1,0.79972,0.000127306,0.000127306,0.000127306
251,220.458,0.12048,0.83784,1,0.71895,0.00012495,0.00012495,0.00012495
252,221.305,0.13053,0.83784,0.93243,1.0485,0.000122594,0.000122594,0.000122594
253,222.163,0.15826,0.83108,0.93243,1.04004,0.000120238,0.000120238,0.000120238
254,223.012,0.13288,0.77027,0.93243,1.07812,0.000117881,0.000117881,0.000117881
255,223.857,0.13964,0.77027,0.93243,1.09326,0.000115525,0.000115525,0.000115525
256,224.713,0.10932,0.77027,0.93243,1.18717,0.000113169,0.000113169,0.000113169
257,225.557,0.1483,0.80405,0.93243,0.97314,0.000110813,0.000110813,0.000110813
258,226.398,0.11885,0.81081,0.93243,1.12809,0.000108457,0.000108457,0.000108457
259,227.276,0.24926,0.81081,0.93243,0.98519,0.0001061,0.0001061,0.0001061
260,228.021,0.1332,0.81081,0.93243,1.10986,0.000103744,0.000103744,0.000103744
261,228.915,0.14964,0.81081,0.93243,1.08187,0.000101388,0.000101388,0.000101388
262,229.729,0.13797,0.81081,0.93243,1.22054,9.90318e-05,9.90318e-05,9.90318e-05
263,230.591,0.11765,0.81081,0.93243,1.23405,9.66756e-05,9.66756e-05,9.66756e-05
264,231.512,0.11999,0.81081,0.93243,1.14388,9.43194e-05,9.43194e-05,9.43194e-05
265,232.431,0.13298,0.81081,0.93243,1.05062,9.19632e-05,9.19632e-05,9.19632e-05
266,233.304,0.12622,0.81081,0.93243,1.15755,8.9607e-05,8.9607e-05,8.9607e-05
267,234.207,0.12267,0.81081,0.93243,1.146,8.72508e-05,8.72508e-05,8.72508e-05
268,235.046,0.11855,0.81081,0.93243,1.33447,8.48946e-05,8.48946e-05,8.48946e-05
269,235.97,0.12403,0.81081,0.93243,1.05192,8.25384e-05,8.25384e-05,8.25384e-05
270,236.845,0.11197,0.80405,0.93243,1.12077,8.01822e-05,8.01822e-05,8.01822e-05
271,237.66,0.11794,0.80405,0.93243,1.22656,7.7826e-05,7.7826e-05,7.7826e-05
272,238.525,0.11732,0.80405,0.93243,1.35368,7.54698e-05,7.54698e-05,7.54698e-05
273,239.334,0.13798,0.81081,0.93243,1.23145,7.31136e-05,7.31136e-05,7.31136e-05
274,240.195,0.10081,0.81081,0.93243,1.22363,7.07574e-05,7.07574e-05,7.07574e-05
275,241.024,0.12466,0.81081,0.93243,1.38509,6.84012e-05,6.84012e-05,6.84012e-05
276,241.871,0.14467,0.81081,0.93243,0.98047,6.6045e-05,6.6045e-05,6.6045e-05
277,242.784,0.12424,0.81081,0.93243,1.01351,6.36888e-05,6.36888e-05,6.36888e-05
278,243.664,0.10947,0.81081,0.93243,1.2111,6.13326e-05,6.13326e-05,6.13326e-05
279,244.548,0.14582,0.81081,0.93243,1.27604,5.89764e-05,5.89764e-05,5.89764e-05
280,245.439,0.12304,0.81081,0.93243,1.0612,5.66202e-05,5.66202e-05,5.66202e-05
281,246.282,0.11583,0.81081,0.93243,0.96517,5.4264e-05,5.4264e-05,5.4264e-05
282,247.143,0.16704,0.81081,0.93243,1.37354,5.19078e-05,5.19078e-05,5.19078e-05
283,248.007,0.12895,0.81081,0.93243,0.97567,4.95516e-05,4.95516e-05,4.95516e-05
284,248.826,0.12052,0.81081,0.93243,1.40723,4.71954e-05,4.71954e-05,4.71954e-05
285,249.727,0.13835,0.81081,0.93243,1.05729,4.48392e-05,4.48392e-05,4.48392e-05
286,250.566,0.1346,0.81081,0.93243,1.14958,4.2483e-05,4.2483e-05,4.2483e-05
287,251.443,0.1188,0.81081,0.93243,0.8833,4.01268e-05,4.01268e-05,4.01268e-05
288,252.293,0.11276,0.81081,0.93243,1.14827,3.77706e-05,3.77706e-05,3.77706e-05
289,253.19,0.11733,0.81081,0.93243,1.13867,3.54144e-05,3.54144e-05,3.54144e-05
290,254.023,0.12662,0.81081,0.93243,1.13363,3.30582e-05,3.30582e-05,3.30582e-05
291,255.706,0.10916,0.81081,0.93243,1.02686,3.0702e-05,3.0702e-05,3.0702e-05
292,256.857,0.10166,0.81081,0.93243,0.82996,2.83458e-05,2.83458e-05,2.83458e-05
293,257.758,0.11628,0.81081,0.93243,1.1543,2.59896e-05,2.59896e-05,2.59896e-05
294,258.56,0.13049,0.81081,0.93243,1.49886,2.36334e-05,2.36334e-05,2.36334e-05
